name,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2015-08-01 18:00:00,72.0588928108,72.0248802976,72.0614402092,71.9907502326,72.063295213,72.0309148424,72.0611750416,72.0605496973,54.1192127525,72.061791993,54.1171459575,72.0612286466,72.0599405364,75.801494022,72.0265764823,72.026726397,72.0640285631,72.0652908336,54.120800967,72.0607768678,54.1199143569,72.061197858,37.3107541636,72.0601063134,72.0626256465,70.1440087309,71.9948235199,37.3134932248,72.05803061,72.0273227434
2015-08-01 19:00:00,72.059177863,72.0465563811,72.0626722851,71.9807523309,72.063746267,72.0516546469,72.0623568954,72.0615087976,54.1266940321,72.0623892041,54.1260003934,72.0623330473,72.0619912433,75.7987647174,72.0480701722,72.0482086871,72.0698412198,72.0651079426,54.1276306813,72.0621001729,54.1269902332,72.0624899426,37.3107565879,72.061560092,72.0640727676,70.1442228257,71.9965197638,37.3140077725,72.0584027997,72.0487642011
2015-08-01 20:00:00,72.0589597794,70.3934847931,72.0633315467,70.1749976271,72.0637980017,70.4007591946,72.0626365014,72.061564664,54.1232195504,72.0628686894,54.12251146,72.0628409924,72.0627576934,75.7965800312,70.3951562451,70.3952629912,72.0770521937,72.0646268327,54.1241987504,72.0624019903,54.1235694013,72.0630867941,37.3107580846,70.4099016793,72.0654674954,70.143893482,70.1833569489,37.3151156985,72.0575266945,70.3958660902
2015-08-01 21:00:00,72.0586989409,70.1847127857,72.0629428575,70.157491225,72.0633797937,70.1944501543,72.0621724679,72.06068492,54.1145330305,72.0626258987,54.111503818,72.0626573682,72.0626591715,75.7932114018,70.1862712768,70.1863036498,72.0697738547,72.0638282571,54.1163476453,72.0619859366,54.1154498586,72.0625951503,37.3107520958,70.2010669058,72.0649762532,70.1421485681,70.1591779038,37.3143436103,72.0567699124,70.1870146266
2015-08-01 22:00:00,72.058501127,67.8788308474,72.0621446504,67.8291299583,72.0625513076,67.8809257732,72.0612778689,72.058708237,54.104890796,72.062040787,54.0337214718,72.0620030682,72.06187349,75.7873139264,67.8796104083,67.8791383774,72.0625038255,72.0628120594,54.1077638876,72.0611460193,54.1066164771,72.0615801931,37.3107410167,67.8802807887,72.063660822,67.7487283137,67.8315486107,37.3136981559,72.0556739324,67.8794934801
2015-08-01 23:00:00,72.0582761747,65.101400677,72.0614245174,65.079182838,72.0616713227,65.1033398956,72.0602001543,72.0552623638,54.1044663252,72.061729947,54.0090318224,72.061397264,72.0609919795,75.7755143702,65.1022642741,65.1017041023,72.0530415707,72.0618244138,54.107256028,72.0601272977,54.1061492293,72.0604405923,37.3107369182,65.102042777,72.0629891982,65.0713910103,65.0819399068,37.3133888769,72.054667704,65.1019297659
2015-08-02 00:00:00,72.0576585929,69.3935847513,72.0599342413,65.0772956967,72.0602538911,69.3998016101,72.0582107689,72.055097979,54.0773303522,72.061322824,54.0033614966,72.0600429525,72.059619967,75.7366034383,69.3948129309,69.394667539,71.7864499871,72.0603567463,54.0807610644,72.0582235388,54.0797110812,72.0583054719,37.3107352267,69.408158063,72.0623172048,65.0702981222,65.0811627424,37.3132563208,72.0540111503,69.3959415361
2015-08-02 01:00:00,72.0568455362,69.624693027,72.0585256404,65.0796094333,72.0587384618,69.6332903588,72.0573659915,72.0551920857,54.0510579604,72.0607296823,54.0045670301,72.0585478105,72.0581103021,75.6500460167,69.6260619429,69.6259726224,54.1352285298,72.0588072678,54.0550595641,72.0573497014,54.0539294481,72.0574012117,37.3107348994,69.7999582099,72.0615775271,65.075115603,65.0819262468,37.3130126741,72.0529243024,69.6277454593
2015-08-02 02:00:00,72.0539220924,68.710142899,72.055431417,65.1041709714,72.0555912984,68.7170044354,72.0542795605,72.0523661671,54.0148343688,72.0598620837,53.9983270308,72.0554288999,72.0549241363,72.4970722947,68.71141384,68.7112568072,54.1249420128,72.0556670154,54.0188262956,72.0542755428,54.0177058628,72.05431997,37.3107348851,70.1767583868,72.0605988791,65.1009986031,65.1052444548,37.3129207387,72.0498021653,68.7128032006
2015-08-02 03:00:00,72.0484008649,65.1080214344,72.0496310544,65.0838800417,72.0497815821,65.1113961764,72.0487142602,72.0467296407,54.0155802788,72.0586269157,54.0040645284,72.0496166518,72.0490915085,72.0516702127,65.1091213917,65.1087956593,54.1230714957,72.0498374157,54.0198449167,72.0486529492,54.0186697958,72.0487682812,37.3107320949,65.1136152691,72.0593314714,65.0815032524,65.0844935465,37.3127278191,72.0437110269,65.1094810926
